Formal Name,Course Name,Prerequisites,Corequisites,Requirement
BE 1000,UNDERGRADUATE RESEARCH,[None],[None],required
BE 1105,MEDICAL APPLICATIONS OF ENGINEERING,[None],[None],required
BE 1325,INTRODUCTION TO BIOENGINEERING,[None],[None],required
BE 2000,UNDERGRADUATE RESEARCH,[None],[None],required
BE 2300,SPECIAL TOPICS IN BIOENGINEERING,[None],[None],required
BE 2310,ENGINEERING APPROACHES TO SOLVING CLINICAL CHALLENGES,"['BE 1105', 'BE 1325', 'MATH 2425', 'CHEM 1442', 'BE 2315']",[None],required
BE 2315,INTRODUCTORY COMPUTATIONAL TOOLS FOR BIOENGINEERS,"['BE 1325', 'MATH 1426']",[None],required
BE 3000,UNDERGRADUATE RESEARCH,[None],[None],required
BE 3101,SEMINAR IN BIOENGINEERING,[None],[None],required
BE 3180,INTRODUCTION TO MEDICAL DEVICE REGULATORY REQUIREMENTS AND QUALITY STANDARDS,[None],[None],required
BE 3191,DIRECTED RESEARCH IN BIOENGINEERING,[None],[None],required
BE 3195,INTERNSHIP IN BIOENGINEERING,[None],[None],required
BE 3280,INTRODUCTION TO MEDICAL DEVICE REGULATORY REQUIREMENTS & QUALITY STANDARDS,[None],[None],required
BE 3295,INTERNSHIP IN BIOENGINEERING,[None],[None],required
BE 3301,CELL PHYSIOLOGY FOR BIOENGINEERS,[None],[None],required
BE 3310,BIOMECHANICS AND FLUID FLOW WITH COMPUTATIONAL LABORATORY,[None],[None],required
BE 3317,LINEAR SYSTEMS IN BIOENGINEERING,[None],[None],required
BE 3320,BIOMEDICAL SIGNAL ACQUISITION AND ANALYSIS,"['MATH 2326', 'BE 2315', 'PHYS 1444']",[None],required
BE 3325,FLUORESCENCE MICROSCOPY,[None],[None],required
BE 3327,TISSUE OPTICS,[None],[None],required
BE 3343,MATLAB AND APPLICATIONS FOR BIOENGINEERS,[None],[None],required
BE 3344,BIOINSTRUMENTATION,['EE 2440'],[None],required
BE 3346,MEDICAL IMAGING,[None],[None],required
BE 3352,DIGITAL PROCESSING OF BIOLOGICAL SIGNALS,['BE 3317'],[None],required
BE 3367,CELL CULTURE AND BIOMATERIAL LABORATORY,[None],[None],required
BE 3380,HUMAN PHYSIOLOGY IN BE,[None],[None],required
BE 3395,INTERNSHIP IN BIOENGINEERING,[None],[None],required
BE 3415,FUNDAMENTALS OF BIOMOLECULAR ENGINEERING,"['BE 1105', 'BE 1325', 'BIOL 1441', 'CHEM 1442', 'MATH 2425']",[None],required
BE 4000,UNDERGRADUATE RESEARCH,[None],[None],required
BE 4191,DIRECTED RESEARCH IN BIOENGINEERING,[None],[None],required
BE 4291,DIRECTED RESEARCH IN BIOENGINEERING,[None],[None],required
BE 4300,SPECIAL TOPICS IN BIOENGINEERING,[None],[None],required
BE 4312,TISSUE BIOMECHANICS AND BIOENGINEERING,[None],[None],required
BE 4314,BIOMEDICAL IMPLANTS,[None],[None],required
BE 4318,MEDICAL DEVICE PROTOTYPING,[None],[None],required
BE 4324,BIOMEDICAL OPTICS LABORATORY,[None],[None],required
BE 4325,FUNDAMENTALS OF BIOENGINEERING,[None],[None],required
BE 4326,TISSUE ULTRASOUND-OPTICAL IMAGING,[None],[None],required
BE 4329,NEURAL ENGINEERING,[None],[None],required
BE 4330,MEDICAL IMAGE PROCESSING,[None],[None],required
BE 4331,BIOPOLYMERS AND BIOCOMPATIBILITY,[None],[None],required
BE 4333,NANO BIOMATERIALS AND LIVING-SYSTEMS INTERACTION,[None],[None],required
BE 4337,TRANSPORT PHENOMENA IN BIOMEDICAL ENGINEERING,[None],[None],required
BE 4345,BIOSENSORS,[None],[None],required
BE 4350,SENIOR DESIGN PROJECT I,"['BE 3317', 'BE 3380', 'BE 4382']",[None],required
BE 4355,SENIOR DESIGN PROJECT II,['BE 4350'],[None],required
BE 4360,FUNDAMENTALS OF ULTRASOUND IN BIOENGINEERING,"['EE 2440', 'BE 3344']",[None],required
BE 4364,TISSUE ENGINEERING,[None],[None],required
BE 4365,TISSUE ENGINEERING LABORATORY,[None],[None],required
BE 4366,PROCESS CONTROL IN BIOTECHNOLOGY,['BE 3317'],[None],required
BE 4368,AN INTRODUCTION TO TISSUE ENGINEERING AND REGENERATIVE MEDICINE,[None],[None],required
BE 4372,DRUG DELIVERY SYSTEM,[None],[None],required
BE 4373,FORMULATION AND CHARACTERIZATION OF DRUG DELIVERY SYSTEMS,[None],[None],required
BE 4382,LABORATORY PRINCIPLES,[None],[None],required
BE 4385,STEM CELL TISSUE ENGINEERING,"['BE 3380', 'BE 3301', 'BE 3367']",[None],required
BE 4388,MEDICAL PRODUCT DESIGN AND DEVELOPMENT,[None],[None],required
BE 4390,UNDERGRADUATE RESEARCH PROJECT,[None],[None],required
BE 4391,DIRECTED RESEARCH IN BIOENGINEERING,[None],[None],required
