Formal Name,Course Name,Prerequisites,Corequisites,Requirement
CM 1311,CONSTRUCTION DRAFTING,[None],[None],required
CM 1331,CONSTRUCTION SURVEYING,['CM 1311'],[None],required
CM 2311,INTRODUCTION TO CONSTRUCTION MANAGEMENT,[None],[None],required
CM 2313,CONSTRUCTION MATERIALS AND METHODS,['CM 2311'],[None],required
CM 2315,INTRODUCTION TO MECHANICS FOR CONSTRUCTION,"['MATH 1303', 'PHYS 1441']",[None],required
CM 2331,CONSTRUCTION DOCUMENTS,['CM 2311'],[None],required
CM 2391,PROBLEMS IN CONSTRUCTION MANAGEMENT,[None],[None],required
CM 3313,CONSTRUCTION ESTIMATING I,"['MATH 1303', 'CM 2331']",[None],required
CM 3315,CONSTRUCTION LAW AND ETHICS,['CM 2331'],[None],required
CM 3331,MECHANICAL AND ELECTRICAL SYSTEMS,['PHYS 1442'],[None],required
CM 3333,CONSTRUCTION DESIGN I,['CM 2315'],[None],required
CM 3335,SOILS AND FOUNDATION IN CONSTRUCTION,['CM 2315'],[None],required
CM 3337,CONSTRUCTION ADMINISTRATION AND ECONOMICS,"['CM 2331', 'MATH 1303']",[None],required
CM 3339,CONSTRUCTION SAFETY,['CM 2331'],[None],required
CM 3341,CONSTRUCTION DESIGN,['CM 2315'],[None],required
CM 4111,CONSTRUCTION MANAGEMENT CAPSTONE I,['CM 3333'],[None],required
CM 4300,ADVANCED TOPICS IN CONSTRUCTION MANAGEMENT,[None],[None],required
CM 4301,ADVANCED TOPICS IN CONSTRUCTION MANAGEMENT WITH LAB,[None],[None],required
CM 4304,CONSTRUCTION CONTRACTS,"['CM 3315', 'CM 3337']",[None],required
CM 4306,BUILDING CONSTRUCTION CONTRACTS,"['CM 3315', 'CM 3337']",[None],required
CM 4313,CONSTRUCTION DESIGN II,['CM 3333'],[None],required
CM 4315,CONSTRUCTION ESTIMATING II,"['ACCT 2301', 'CM 3313']",[None],required
CM 4317,CONSTRUCTION SCHEDULING,['CM 3313'],[None],required
CM 4331,CONSTRUCTION MANAGEMENT CAPSTONE,"['CM 4315', 'CM 4317', 'CM 4351', 'CM 4357']",[None],required
CM 4332,CONSTRUCTION FIELD OPERATIONS,"['CM 2313', 'CM 3335']",[None],required
CM 4334,DRONES & ADVANCED CONSTRUCTION TECHNOLOGY,['CM 2311'],[None],required
CM 4335,GEOTECHNICAL ASPECTS OF CONSTRUCTION,['CM 3335'],[None],required
CM 4337,LAND AND SITE DEVELOPMENT,"['CM 1331', 'CM 3335']",[None],required
CM 4351,BUILDING INFORMATION MODELING FOR CONSTRUCTION MANAGEMENT,['CM 3341'],[None],required
CM 4353,RESIDENTIAL AND COMMERCIAL CONSTRUCTION,[None],[None],required
CM 4357,SUSTAINABLE BUILDING PRACTICE,[None],[None],required
CM 4359,INDUSTRIAL INTERNSHIP I,[None],[None],required
CM 4360,INDUSTRIAL INTERNSHIP II,['CM 4359'],[None],required
CM 4391,PROBLEMS IN CONSTRUCTION MANAGEMENT,[None],[None],required
CM 5300,TOPICS IN CONSTRUCTION MANAGEMENT,[None],[None],required
CM 5301,TOPICS IN CONSTRUCTION MANAGEMENT WITH LAB,[None],[None],required
CM 5313,GEOTECHNICAL ASPECTS OF CONSTRUCTION,['CM 5378'],[None],required
CM 5339,STATISTICS FOR CONSTRUCTION,['CE 3301'],[None],required
CM 5340,CONSTRUCTION PROJECT ACQUISITION,[None],[None],required
CM 5342,CONSTRUCTION PROJECT ADMINISTRATION,[None],[None],required
CM 5343,ADVANCED BUILDING INFORMATION MODELING,[None],[None],required
CM 5344,CONSTRUCTION METHODS: FIELD OPERATIONS,[None],[None],required
CM 5345,"INFRASTRUCTURE EVALUATION, MAINTENANCE, AND RENEWAL",[None],[None],required
CM 5350,RISK MANAGEMENT,[None],[None],required
CM 5355,CONSTRUCTION MATERIALS,[None],[None],required
CM 5377,CONSTRUCTION FINANCE,[None],[None],required
CM 5378,"CONSTRUCTION CONTRACTS, SPECIFICATIONS, & ADMINISTRATION",[None],[None],required
CM 5379,CONSTRUCTION COST ESTIMATING,[None],[None],required
CM 5381,PUBLIC PRIVATE PARTNERSHIP FOR INFRASTRUCTURE PROJECTS,['CE 3310'],[None],required
CM 5382,CONSTRUCTION SUSTAINABILITY,[None],[None],required
CM 5386,CONSTRUCTION PLANNING & SCHEDULING,[None],[None],required
CM 5387,CONSTRUCTION PRODUCTIVITY,['CM 5379'],[None],required
CM 5388,PIPELINE CONSTRUCTION AND TRENCHLESS TECHNOLOGY,[None],[None],required
CM 5389,PIPELINE SYSTEMS ASSET MANAGEMENT,[None],[None],required
